NAME,GEO_ID,total_population,female_population,median_gross_rent_in_dollars,median_household_income_past12months,male_bachelors_degree_25yrs_above,female_bachelors_degree_25yrs_above,state,county
"Baldwin County, Alabama","0500000US01003","253507","128989","1286","72915","20361","18791","01","003"
"Calhoun County, Alabama","0500000US01015","116429","60244","782","50780","4121","6154","01","015"
"Cullman County, Alabama","0500000US01043","92016","47001","788","58923","2761","4265","01","043"
"DeKalb County, Alabama","0500000US01049","72569","36228","659","43509","2455","2098","01","049"
"Elmore County, Alabama","0500000US01051","90441","45834","933","72478","6377","5932","01","051"
"Etowah County, Alabama","0500000US01055","103241","54822","760","52192","3272","4410","01","055"
"Houston County, Alabama","0500000US01069","108462","56453","957","59335","4773","5491","01","069"
"Jefferson County, Alabama","0500000US01073","662895","348795","1164","64623","41628","54589","01","073"
"Lauderdale County, Alabama","0500000US01077","96814","50847","745","64864","5203","6600","01","077"
"Lee County, Alabama","0500000US01081","183215","94066","979","60358","12973","14745","01","081"
"Limestone County, Alabama","0500000US01083","114654","57293","999","81942","7006","9608","01","083"
"Madison County, Alabama","0500000US01089","412600","210015","1263","86192","40357","40323","01","089"
"Marshall County, Alabama","0500000US01095","100756","50580","724","60298","4976","4637","01","095"
"Mobile County, Alabama","0500000US01097","411640","214585","1022","55352","22055","26730","01","097"
"Montgomery County, Alabama","0500000US01101","224980","118567","1023","60739","13596","15712","01","101"
"Morgan County, Alabama","0500000US01103","125133","63956","870","75028","6386","8119","01","103"
"St. Clair County, Alabama","0500000US01115","95552","48455","1027","81334","5042","5637","01","115"
"Shelby County, Alabama","0500000US01117","233000","119678","1363","88070","22888","21458","01","117"
"Talladega County, Alabama","0500000US01121","81132","41883","728","61111","2140","2735","01","121"
"Tuscaloosa County, Alabama","0500000US01125","237373","122562","975","60926","11098","15647","01","125"
"Anchorage Municipality, Alaska","0500000US02020","286075","139237","1474","94437","23186","23677","02","020"
"Fairbanks North Star Borough, Alaska","0500000US02090","94840","42575","1503","86391","5231","6577","02","090"
"Matanuska-Susitna Borough, Alaska","0500000US02170","115239","54396","1195","93673","5486","7150","02","170"
"Apache County, Arizona","0500000US04001","65036","33064","607","40539","1592","2379","04","001"
"Cochise County, Arizona","0500000US04003","124640","61397","988","52025","7037","6531","04","003"
"Coconino County, Arizona","0500000US04005","144472","72942","1579","71738","9755","10478","04","005"
"Maricopa County, Arizona","0500000US04013","4585871","2305417","1766","87048","348432","362289","04","013"
"Mohave County, Arizona","0500000US04015","223682","110463","1077","55954","7839","10631","04","015"
"Navajo County, Arizona","0500000US04017","109175","54026","869","50754","3342","5035","04","017"
"Pima County, Arizona","0500000US04019","1063162","537803","1263","69758","69398","83833","04","019"
"Pinal County, Arizona","0500000US04021","484239","235466","1520","77143","24685","28442","04","021"
"Yavapai County, Arizona","0500000US04025","249081","127267","1442","67245","17869","17756","04","025"
"Yuma County, Arizona","0500000US04027","213221","102948","1055","62888","8282","8601","04","027"
"Benton County, Arkansas","0500000US05007","311013","156404","1365","92759","24642","26441","05","007"
"Craighead County, Arkansas","0500000US05031","113993","58294","968","59776","4817","7250","05","031"
"Faulkner County, Arkansas","0500000US05045","129951","67137","1000","67786","7952","9459","05","045"
"Garland County, Arkansas","0500000US05051","99784","51882","944","52275","6565","8855","05","051"
"Jefferson County, Arkansas","0500000US05069","63661","31831","904","49045","2564","4004","05","069"
"Lonoke County, Arkansas","0500000US05085","75944","39097","1065","75327","3270","5242","05","085"
"Pulaski County, Arkansas","0500000US05119","400009","208533","1060","61129","28168","31997","05","119"
"Saline County, Arkansas","0500000US05125","129574","65736","965","77278","7275","9836","05","125"
"Sebastian County, Arkansas","0500000US05131","129098","65823","885","57949","6117","6273","05","131"
"Washington County, Arkansas","0500000US05143","261549","130131","1112","65465","19103","15574","05","143"
"White County, Arkansas","0500000US05145","78452","40185","780","53688","2520","3937","05","145"
"Alameda County, California","0500000US06001","1622188","817659","2303","119931","155217","173795","06","001"
"Butte County, California","0500000US06007","207172","103822","1434","63222","12237","13213","06","007"
"Contra Costa County, California","0500000US06013","1155025","586989","2314","122794","108623","121372","06","013"
"El Dorado County, California","0500000US06017","192215","96104","1761","108594","17471","19034","06","017"
"Fresno County, California","0500000US06019","1017162","506756","1410","71689","48318","51595","06","019"
"Humboldt County, California","0500000US06023","133985","67652","1246","61621","11152","11574","06","023"
"Imperial County, California","0500000US06025","179057","88293","1022","60243","4940","6208","06","025"
"Kern County, California","0500000US06029","913820","450092","1286","68893","30613","37760","06","029"
"Kings County, California","0500000US06031","152682","68788","1220","66429","3470","3740","06","031"
"Lake County, California","0500000US06033","67878","34409","1544","59444","1784","2666","06","033"
"Los Angeles County, California","0500000US06037","9663345","4881856","1896","86587","753132","828496","06","037"
"Madera County, California","0500000US06039","162858","81714","1477","66553","5619","5106","06","039"
"Marin County, California","0500000US06041","254407","129473","2614","139644","27048","30357","06","041"
"Mendocino County, California","0500000US06045","89108","43493","1439","67454","4784","7468","06","045"
"Merced County, California","0500000US06047","291920","145064","1294","57570","7308","9350","06","047"
"Monterey County, California","0500000US06053","430723","212602","2004","88035","21989","23889","06","053"
"Napa County, California","0500000US06055","133216","66730","2239","104686","10702","13752","06","055"
"Nevada County, California","0500000US06057","102037","52747","1782","87998","10117","9811","06","057"
"Orange County, California","0500000US06059","3135755","1583727","2382","110042","304962","316618","06","059"
"Placer County, California","0500000US06061","423561","214903","2009","109713","42684","44259","06","061"
"Riverside County, California","0500000US06065","2492442","1242146","1871","90527","137733","143731","06","065"
"Sacramento County, California","0500000US06067","1584288","804705","1762","90252","111193","132342","06","067"
"San Benito County, California","0500000US06069","68175","33930","1985","107324","3075","4072","06","069"
"San Bernardino County, California","0500000US06071","2195611","1096922","1831","85069","97646","116001","06","071"
"San Diego County, California","0500000US06073","3269973","1617431","2296","103674","292431","307003","06","073"
"San Francisco County, California","0500000US06075","808988","392928","2356","126730","114585","110017","06","075"
"San Joaquin County, California","0500000US06077","800965","400081","1655","87418","38021","46298","06","077"
"San Luis Obispo County, California","0500000US06079","281639","139806","1922","90670","25033","22781","06","079"
"San Mateo County, California","0500000US06081","726353","363452","2797","151485","73112","86225","06","081"
"Santa Barbara County, California","0500000US06083","441257","221142","1988","91197","29185","31437","06","083"
"Santa Clara County, California","0500000US06085","1877592","920480","2781","154954","187292","193954","06","085"
"Santa Cruz County, California","0500000US06087","261547","130635","2055","105631","21255","22877","06","087"
"Shasta County, California","0500000US06089","180366","92646","1351","75949","8872","11298","06","089"
"Solano County, California","0500000US06095","449218","224381","2059","100027","27389","33831","06","095"
"Sonoma County, California","0500000US06097","481812","244370","2061","100707","38101","47060","06","097"
"Stanislaus County, California","0500000US06099","551430","276261","1595","82758","20755","28369","06","099"
"Sutter County, California","0500000US06101","97948","50746","1403","74727","4127","4342","06","101"
"Tehama County, California","0500000US06103","64896","32236","1126","55128","3145","3670","06","103"
"Tulare County, California","0500000US06107","479468","239029","1277","73097","13411","16722","06","107"
"Ventura County, California","0500000US06111","829590","417424","2264","107667","64241","69056","06","111"
"Yolo County, California","0500000US06113","220544","112464","1900","93203","14853","16112","06","113"
"Yuba County, California","0500000US06115","85722","41605","1304","80396","3074","3014","06","115"
"Adams County, Colorado","0500000US08001","533365","262239","1811","97706","33893","37900","08","001"
"Arapahoe County, Colorado","0500000US08005","656061","329118","1933","98239","62451","68561","08","005"
"Boulder County, Colorado","0500000US08013","326831","161875","1915","95363","39689","37242","08","013"
"Broomfield County, Colorado","0500000US08014","76860","37749","2086","112139","10136","8321","08","014"
"Denver County, Colorado","0500000US08031","716577","353272","1843","94157","88583","91482","08","031"
"Douglas County, Colorado","0500000US08035","383906","191577","2219","143150","51539","50864","08","035"
"El Paso County, Colorado","0500000US08041","744215","365762","1708","89549","62311","67831","08","041"
"Jefferson County, Colorado","0500000US08059","576366","285274","1851","102231","71139","70289","08","059"
"Larimer County, Colorado","0500000US08069","370771","185400","1699","88182","38526","38672","08","069"
"Mesa County, Colorado","0500000US08077","159681","81080","1184","64722","11343","13701","08","077"
"Pueblo County, Colorado","0500000US08101","169422","84914","1165","65161","8450","10747","08","101"
"Weld County, Colorado","0500000US08123","359442","176969","1569","91047","25382","25683","08","123"
"Capitol Planning Region, Connecticut","0500000US09110","975328","497724","1389","91005","73056","79292","09","110"
"Greater Bridgeport Planning Region, Connecticut","0500000US09120","327651","166369","1488","95085","26362","27939","09","120"
"Lower Connecticut River Valley Planning Region, Connecticut","0500000US09130","176215","89363","1449","99275","17475","17095","09","130"
"Naugatuck Valley Planning Region, Connecticut","0500000US09140","456128","233485","1298","81326","28285","29900","09","140"
"Northeastern Connecticut Planning Region, Connecticut","0500000US09150","96692","48172","1217","88806","6296","6706","09","150"
