NAME,GEO_ID,total_population,female_population,median_gross_rent_in_dollars,median_household_income_past12months,male_bachelors_degree_25yrs_above,female_bachelors_degree_25yrs_above,state
"Wisconsin","0400000US55","5813568","2922286","847","60773","356153","419380","55"
"Wyoming","0400000US56","577737","285118","818","61584","30959","35490","56"
"Puerto Rico","0400000US72","3195153","1674738","484","20296","167617","263075","72"
"Mississippi","0400000US28","2986530","1539701","777","44717","120696","164005","28"
"Missouri","0400000US29","6126452","3123287","830","54478","359252","395654","29"
"Montana","0400000US30","1062305","527523","811","55328","72139","80309","30"
"Nebraska","0400000US31","1929268","968055","830","59566","127535","142140","31"
"Nevada","0400000US32","3034392","1512018","1108","58646","169211","170464","32"
"New Hampshire","0400000US33","1356458","687016","1090","74991","104038","113244","33"
"New Jersey","0400000US34","8908520","4558134","1336","81740","716690","818631","34"
"New Mexico","0400000US35","2095428","1055787","830","47169","104218","117517","35"
"New York","0400000US36","19542209","10050896","1274","67844","1365441","1481329","36"
"North Carolina","0400000US37","10383620","5331376","900","53855","659528","795150","37"
"North Dakota","0400000US38","760077","368855","808","63837","50589","60075","38"
"Ohio","0400000US39","11689442","5957347","797","56111","678534","752480","39"
"Oklahoma","0400000US40","3943079","1993003","808","51924","201453","233117","40"
"Oregon","0400000US41","4190713","2110770","1130","63426","295505","325685","41"
"Pennsylvania","0400000US42","12807060","6535440","927","60905","832881","890345","42"
"Rhode Island","0400000US44","1057315","541415","998","64340","72083","75424","44"
"South Carolina","0400000US45","5084127","2615420","892","52306","296555","330589","45"
"South Dakota","0400000US46","882235","436964","734","56274","55259","62684","46"
"Tennessee","0400000US47","6770010","3467819","861","52375","379541","422075","47"
"Texas","0400000US48","28701845","14451661","1046","60629","1717348","1909699","48"
"Vermont","0400000US50","626299","318181","969","60782","47495","55573","50"
"Utah","0400000US49","3161105","1568648","1043","71414","205936","221625","49"
"Virginia","0400000US51","8517685","4326947","1215","72577","603222","692819","51"
"Washington","0400000US53","7535591","3768732","1316","74073","581685","605823","53"
"West Virginia","0400000US54","1805832","911175","735","44097","80881","82733","54"
"Alabama","0400000US01","4887871","2518600","788","49861","250321","285765","01"
"Alaska","0400000US02","737438","354486","1177","74346","41808","47827","02"
"Arizona","0400000US04","7171646","3606517","1036","59246","437918","460114","04"
"Arkansas","0400000US05","3013825","1537145","731","47062","133893","162529","05"
"California","0400000US06","39557045","19883492","1520","75277","2726032","2978820","06"
"Colorado","0400000US08","5695564","2830803","1289","71953","492296","521693","08"
"Delaware","0400000US10","967171","499247","1108","64805","60280","63898","10"
"District of Columbia","0400000US11","702455","368247","1516","85203","62807","66975","11"
"Connecticut","0400000US09","3572665","1832132","1171","76348","256340","287688","09"
"Florida","0400000US12","21299325","10894649","1182","55462","1375677","1544782","12"
"Georgia","0400000US13","10519475","5399185","1008","58756","633153","729164","13"
"Idaho","0400000US16","1754208","872050","848","55583","97396","116066","16"
"Hawaii","0400000US15","1420491","709789","1613","80212","102746","116082","15"
"Illinois","0400000US17","12741080","6475018","995","65030","874048","959618","17"
"Indiana","0400000US18","6691878","3395905","820","55746","366598","405213","18"
"Iowa","0400000US19","3156145","1591257","777","59955","189741","223701","19"
"Kansas","0400000US20","2911510","1461765","840","58218","189625","212743","20"
"Kentucky","0400000US21","4468402","2269381","779","50247","215188","226902","21"
"Louisiana","0400000US22","4659978","2383448","854","47905","220625","276009","22"
"Maine","0400000US23","1338404","682670","839","55602","89773","107716","23"
"Maryland","0400000US24","6042718","3112368","1371","83242","424657","487104","24"
"Massachusetts","0400000US25","6902149","3551262","1295","79835","554509","624359","25"
"Michigan","0400000US26","9995915","5069099","861","56697","586768","652483","26"
"Minnesota","0400000US27","5611179","2817199","969","70315","436353","484497","27"
