NAME,GEO_ID,total_population,female_population,median_gross_rent_in_dollars,median_household_income_past12months,male_bachelors_degree_25yrs_above,female_bachelors_degree_25yrs_above,state
"Alabama","0400000US01","5074296","2613048","913","59674","285156","324160","01"
"Alaska","0400000US02","733583","347916","1329","88121","44546","49622","02"
"Arizona","0400000US04","7359197","3680816","1450","74568","513316","518736","04"
"Arkansas","0400000US05","3045637","1541149","846","55432","145516","178445","05"
"California","0400000US06","39029342","19492917","1870","91551","2899384","3156785","06"
"Colorado","0400000US08","5839926","2879030","1646","89302","584068","593823","08"
"Connecticut","0400000US09","3626205","1849516","1360","88429","276405","308594","09"
"Delaware","0400000US10","1018396","523739","1274","82174","71309","80585","10"
"District of Columbia","0400000US11","671803","352040","1843","101027","63048","63630","11"
"Florida","0400000US12","22244823","11291355","1525","69303","1628657","1816686","12"
"Georgia","0400000US13","10912876","5588925","1269","72837","715408","804217","13"
"Hawaii","0400000US15","1440196","714887","1813","92458","104846","121278","15"
"Idaho","0400000US16","1939033","962108","1138","72785","130838","143571","16"
"Illinois","0400000US17","12582032","6352997","1170","76708","938256","1014734","17"
"Indiana","0400000US18","6833037","3440370","972","66785","416912","452305","18"
"Iowa","0400000US19","3200517","1592858","891","69588","216792","246948","19"
"Kansas","0400000US20","2937150","1463359","975","68925","206612","220298","20"
"Kentucky","0400000US21","4512310","2279152","891","59341","242603","266017","21"
"Louisiana","0400000US22","4590241","2342095","984","55416","235881","289163","22"
"Maine","0400000US23","1385340","700783","1033","69543","105148","124616","23"
"Maryland","0400000US24","6164660","3160543","1550","94991","468891","527276","24"
"Massachusetts","0400000US25","6981974","3562487","1634","94488","607836","644351","25"
"Michigan","0400000US26","10034118","5055029","1052","66986","647193","713946","26"
"Minnesota","0400000US27","5717184","2847546","1200","82338","478151","516932","27"
"Mississippi","0400000US28","2940057","1513368","873","52719","125645","171835","28"
"Missouri","0400000US29","6177957","3131606","954","64811","395430","440435","29"
"Montana","0400000US30","1122867","555594","1005","67631","86211","93497","30"
"Nebraska","0400000US31","1967923","979086","983","69597","140320","153026","31"
"Nevada","0400000US32","3177772","1577850","1461","72333","188981","201891","32"
"New Hampshire","0400000US33","1395231","698445","1396","89992","125045","127028","33"
"New Jersey","0400000US34","9261699","4696995","1555","96346","803895","876000","34"
"New Mexico","0400000US35","2113344","1065559","955","59726","108976","137202","35"
"New York","0400000US36","19677151","10048252","1499","79557","1488087","1609322","36"
"North Carolina","0400000US37","10698973","5469181","1131","67481","772936","905547","37"
"North Dakota","0400000US38","779261","380416","863","71970","50020","65014","38"
"Ohio","0400000US39","11756058","5945847","949","65720","747717","830818","39"
"Oklahoma","0400000US40","4019800","2015605","937","59673","235846","259621","40"
"Oregon","0400000US41","4240137","2118486","1370","75657","317922","357903","41"
"Pennsylvania","0400000US42","12972008","6572178","1116","71798","927400","972094","42"
"Rhode Island","0400000US44","1093734","557893","1254","81854","92305","93578","44"
"South Carolina","0400000US45","5282634","2712725","1084","64115","348848","376621","45"
"South Dakota","0400000US46","909824","447367","866","69728","59255","72226","46"
"Tennessee","0400000US47","7051339","3588721","1096","65254","447772","510593","47"
"Texas","0400000US48","30029572","15008431","1290","72284","2020170","2221861","48"
"Utah","0400000US49","3380800","1664683","1372","89168","244547","260668","49"
"Vermont","0400000US50","647064","326366","1141","73991","54734","59899","50"
"Virginia","0400000US51","8683619","4384305","1441","85873","663933","746009","51"
"Washington","0400000US53","7785786","3855375","1630","91306","642252","660455","53"
"West Virginia","0400000US54","1775156","893055","795","54329","89703","99090","54"
"Wisconsin","0400000US55","5892539","2933768","992","70996","412005","473543","55"
"Wyoming","0400000US56","581381","283526","895","70042","33047","38765","56"
"Puerto Rico","0400000US72","3221789","1693000","535","24112","193704","309802","72"
