NAME,GEO_ID,total_population,female_population,median_gross_rent_in_dollars,median_household_income_past12months,male_bachelors_degree_25yrs_above,female_bachelors_degree_25yrs_above,state,county
"Baldwin County, Alabama","0500000US01003","239294","123598","1096","63866","18672","17853","01","003"
"Calhoun County, Alabama","0500000US01015","115972","60391","718","46524","3524","6094","01","015"
"Cullman County, Alabama","0500000US01043","89496","45165","799","55517","4398","4497","01","043"
"DeKalb County, Alabama","0500000US01049","71813","35861","623","41800","1679","2411","01","049"
"Elmore County, Alabama","0500000US01051","89304","45300","882","59032","4019","4356","01","051"
"Etowah County, Alabama","0500000US01055","103162","53428","717","45298","2990","4630","01","055"
"Houston County, Alabama","0500000US01069","107458","55658","807","46931","5288","4905","01","069"
"Jefferson County, Alabama","0500000US01073","667820","350544","976","55006","45093","53075","01","073"
"Lauderdale County, Alabama","0500000US01077","94043","48876","751","50218","5737","5371","01","077"
"Lee County, Alabama","0500000US01081","177218","90136","895","52424","10478","12701","01","081"
"Limestone County, Alabama","0500000US01083","107517","54193","803","66796","6744","6950","01","083"
"Madison County, Alabama","0500000US01089","395211","199932","1014","78525","34242","39910","01","089"
"Marshall County, Alabama","0500000US01095","98228","50889","718","50191","4363","4425","01","095"
"Mobile County, Alabama","0500000US01097","413073","215219","925","49721","15693","21996","01","097"
"Montgomery County, Alabama","0500000US01101","227434","121111","953","50385","11533","17742","01","101"
"Morgan County, Alabama","0500000US01103","123668","63127","629","55286","6604","7861","01","103"
"St. Clair County, Alabama","0500000US01115","92748","45820","906","60433","3027","4250","01","115"
"Shelby County, Alabama","0500000US01117","226902","117277","1194","84260","25216","23401","01","117"
"Talladega County, Alabama","0500000US01121","81524","42942","709","45063","3062","3384","01","121"
"Tuscaloosa County, Alabama","0500000US01125","227007","117192","917","56559","10286","12534","01","125"
"Anchorage Municipality, Alaska","0500000US02020","288121","140474","1335","86654","19643","25095","02","020"
"Fairbanks North Star Borough, Alaska","0500000US02090","95593","43593","1228","72149","5659","9122","02","090"
"Matanuska-Susitna Borough, Alaska","0500000US02170","110686","53042","1221","78856","4705","6285","02","170"
"Apache County, Arizona","0500000US04001","65623","33601","641","40628","1815","2206","04","001"
"Cochise County, Arizona","0500000US04003","126050","62127","793","56600","7192","7572","04","003"
"Coconino County, Arizona","0500000US04005","145052","73968","1306","64533","9985","11293","04","005"
"Maricopa County, Arizona","0500000US04013","4496588","2261635","1389","76247","344060","336777","04","013"
"Mohave County, Arizona","0500000US04015","217692","107202","885","46616","7815","7951","04","015"
"Navajo County, Arizona","0500000US04017","108147","53725","649","49449","3126","4488","04","017"
"Pima County, Arizona","0500000US04019","1052030","531832","1008","60667","65597","73703","04","019"
"Pinal County, Arizona","0500000US04021","449557","217290","1177","70993","21405","20286","04","021"
"Yavapai County, Arizona","0500000US04025","242253","123050","1101","57230","15412","17971","04","025"
"Yuma County, Arizona","0500000US04027","206990","99308","906","57304","7663","6783","04","027"
"Benton County, Arkansas","0500000US05007","293692","146508","1053","78691","21472","23344","05","007"
"Craighead County, Arkansas","0500000US05031","112218","57471","820","50186","7212","7430","05","031"
"Faulkner County, Arkansas","0500000US05045","125106","63593","896","55635","7582","8893","05","045"
"Garland County, Arkansas","0500000US05051","100330","52089","801","47694","5261","5853","05","051"
"Jefferson County, Arkansas","0500000US05069","65861","32771","785","48499","3452","4456","05","069"
"Lonoke County, Arkansas","0500000US05085","74722","37588","892","63641","2741","3608","05","085"
"Pulaski County, Arkansas","0500000US05119","397821","207813","927","52479","28080","31945","05","119"
"Saline County, Arkansas","0500000US05125","125233","62828","997","67345","7948","8864","05","125"
"Sebastian County, Arkansas","0500000US05131","128400","65670","696","47874","6046","6062","05","131"
"Washington County, Arkansas","0500000US05143","250057","124984","928","65125","14017","16868","05","143"
"White County, Arkansas","0500000US05145","77207","39811","737","51402","2786","3830","05","145"
"Alameda County, California","0500000US06001","1648556","831764","2036","109729","157664","170281","06","001"
"Butte County, California","0500000US06007","208309","105080","1238","64738","14828","14433","06","007"
"Contra Costa County, California","0500000US06013","1161413","590694","2075","111080","103015","119899","06","013"
