NAME,GEO_ID,total_population,female_population,median_gross_rent_in_dollars,median_household_income_past12months,male_bachelors_degree_25yrs_above,female_bachelors_degree_25yrs_above,state
"Pennsylvania","0400000US42","12794885","6525743","958","63627","847743","906568","42"
"California","0400000US06","39346023","19783141","1586","78672","2764363","3000464","06"
"West Virginia","0400000US54","1807426","913683","732","48037","76845","86753","54"
"Utah","0400000US49","3151239","1564289","1090","74197","210367","219569","49"
"New York","0400000US36","19514849","10040665","1315","71117","1366735","1488195","36"
"District of Columbia","0400000US11","701974","368837","1607","90842","59914","66894","11"
"Alaska","0400000US02","736990","352337","1240","77790","40942","49219","02"
"Florida","0400000US12","21216924","10842330","1218","57703","1388109","1550484","12"
"South Carolina","0400000US45","5091517","2622835","918","54864","301324","337070","45"
"North Dakota","0400000US38","760394","371110","828","65315","50527","59435","38"
"Maine","0400000US23","1340825","684197","873","59489","88526","111220","23"
"Georgia","0400000US13","10516579","5402643","1042","61224","644377","732934","13"
"Alabama","0400000US01","4893186","2527452","811","52035","253303","293371","01"
"New Hampshire","0400000US33","1355244","683442","1145","77923","108179","115635","33"
"Oregon","0400000US41","4176346","2105719","1173","65667","299979","327381","41"
"Wyoming","0400000US56","581348","285068","853","65304","32716","36680","56"
"Arizona","0400000US04","7174064","3609085","1097","61529","441178","470050","04"
"Louisiana","0400000US22","4664616","2387684","876","50800","219405","280593","22"
"Indiana","0400000US18","6696893","3396543","844","58235","365106","405795","18"
"Idaho","0400000US16","1754367","874604","887","58915","103612","117480","16"
"Connecticut","0400000US09","3570549","1828861","1201","79855","261124","290335","09"
"Hawaii","0400000US15","1420074","707824","1651","83173","102092","116587","15"
"Illinois","0400000US17","12716164","6469081","1038","68428","895556","979455","17"
"Massachusetts","0400000US25","6873003","3537011","1336","84385","560775","620678","25"
"Texas","0400000US48","28635442","14413722","1082","63826","1739411","1931674","48"
"Montana","0400000US30","1061705","527577","836","56539","77925","85258","30"
"Nebraska","0400000US31","1923826","964149","857","63015","125293","144019","31"
"Ohio","0400000US39","11675275","5953479","825","58116","683669","754508","39"
"Colorado","0400000US08","5684926","2822773","1335","75231","495933","520056","08"
"New Jersey","0400000US34","8885418","4544295","1368","85245","718302","811848","34"
"Maryland","0400000US24","6037624","3111980","1415","87063","423294","484229","24"
"Virginia","0400000US51","8509358","4322815","1257","76398","608206","695873","51"
"Vermont","0400000US50","624340","315899","999","63477","47000","56940","50"
"North Carolina","0400000US37","10386227","5333560","932","56642","662302","786670","37"
"Arkansas","0400000US05","3011873","1533362","760","49475","142105","166543","05"
"Washington","0400000US53","7512465","3753458","1337","77006","579345","604604","53"
"Kansas","0400000US20","2912619","1460700","863","61091","195031","215313","20"
"Oklahoma","0400000US40","3949342","1992725","818","53840","208834","239532","40"
"Wisconsin","0400000US55","5806975","2917192","872","63293","373205","433313","55"
"Mississippi","0400000US28","2981835","1538127","789","46511","118293","156273","28"
"Missouri","0400000US29","6124160","3120159","843","57290","363832","406427","29"
"Michigan","0400000US26","9973907","5061942","892","59234","594043","657074","26"
"Rhode Island","0400000US44","1057798","543274","1031","70305","73858","82123","44"
"Minnesota","0400000US27","5600166","2811149","1010","73382","436916","482143","27"
"Iowa","0400000US19","3150011","1585575","806","61836","192125","222923","19"
"New Mexico","0400000US35","2097021","1059014","857","51243","102988","120887","35"
"Nevada","0400000US32","3030281","1510085","1159","62043","169425","179080","32"
"Delaware","0400000US10","967679","499959","1150","69110","59723","69369","10"
"Puerto Rico","0400000US72","3255642","1709052","486","21058","166264","277433","72"
"Kentucky","0400000US21","4461952","2265430","783","52238","217129","230755","21"
"South Dakota","0400000US46","879336","436388","761","59896","54483","61917","46"
"Tennessee","0400000US47","6772268","3467806","897","54833","388661","438286","47"
