NAME,GEO_ID,total_population,female_population,median_gross_rent_in_dollars,median_household_income_past12months,male_bachelors_degree_25yrs_above,female_bachelors_degree_25yrs_above,state
"Mississippi","0400000US28","2976149","1541192","777","45792","117492","153220","28"
"Missouri","0400000US29","6137428","3129259","834","57409","368603","407205","29"
"Montana","0400000US30","1068778","531608","831","57153","82825","88484","30"
"Nebraska","0400000US31","1934408","967758","859","63229","130034","147125","31"
"Nevada","0400000US32","3080156","1535377","1168","63276","167519","188318","32"
"New Hampshire","0400000US33","1359711","686751","1147","77933","107286","117350","33"
"New Jersey","0400000US34","8882190","4539599","1376","85751","726690","829091","34"
"New Mexico","0400000US35","2096829","1060121","847","51945","101314","119967","35"
"New York","0400000US36","19453561","10002751","1309","72108","1395801","1502639","36"
"North Carolina","0400000US37","10488084","5393757","931","57341","674417","797003","37"
"North Dakota","0400000US38","762062","373723","804","64577","48572","59955","38"
"Ohio","0400000US39","11689100","5956893","813","58642","693201","771744","39"
"Oklahoma","0400000US40","3956971","1994494","814","54449","207982","239906","40"
"Oregon","0400000US41","4217737","2128061","1185","67058","298995","328916","41"
"Pennsylvania","0400000US42","12801989","6529462","951","63463","854109","907518","42"
"Rhode Island","0400000US44","1059361","542140","1043","71169","75811","80276","44"
"South Carolina","0400000US45","5148714","2663713","922","56227","313518","342978","45"
"South Dakota","0400000US46","884659","435201","769","59533","59698","61533","46"
"Tennessee","0400000US47","6829174","3500059","904","56071","387959","457141","47"
"Texas","0400000US48","28995881","14610119","1091","64034","1781441","1969356","48"
"Vermont","0400000US50","623989","314825","980","63001","46748","54267","50"
"Utah","0400000US49","3205958","1595287","1098","75780","222158","225951","49"
"Virginia","0400000US51","8535519","4333720","1254","76456","606292","706508","51"
"Washington","0400000US53","7614893","3807321","1359","78687","591069","613659","53"
"West Virginia","0400000US54","1792147","906286","727","48850","75227","86459","54"
"Wisconsin","0400000US55","5822434","2929630","867","64168","383331","446547","55"
"Wyoming","0400000US56","578759","282754","822","65003","34621","38562","56"
"Puerto Rico","0400000US72","3193694","1677700","482","20474","166267","277322","72"
"Illinois","0400000US17","12671821","6454516","1020","69187","900767","985473","17"
"Georgia","0400000US13","10617423","5447297","1049","61980","654577","755818","13"
"Idaho","0400000US16","1787065","889021","880","60999","102458","117731","16"
"Hawaii","0400000US15","1415872","708017","1651","83102","99134","120845","15"
"Indiana","0400000US18","6732219","3412312","840","57603","370748","407023","18"
"Iowa","0400000US19","3155070","1584686","808","61691","194498","225701","19"
"Kansas","0400000US20","2913314","1467027","862","62087","195407","219444","20"
"Kentucky","0400000US21","4467673","2269468","773","52295","220641","232399","21"
"Louisiana","0400000US22","4648794","2380592","866","51073","222046","281901","22"
"Maine","0400000US23","1344212","687882","870","58924","92083","113639","23"
"Maryland","0400000US24","6045680","3117667","1401","86738","417359","494422","24"
"Massachusetts","0400000US25","6892503","3546947","1360","85843","572590","624618","25"
"Michigan","0400000US26","9986857","5070952","888","59584","596013","656672","26"
"Minnesota","0400000US27","5639632","2835416","1016","74593","451563","491267","27"
"Connecticut","0400000US09","3565287","1821510","1177","78833","261219","287947","09"
"Florida","0400000US12","21477737","10979732","1238","59227","1410262","1572381","12"
"Alabama","0400000US01","4903185","2533574","807","51734","255317","292658","01"
"Alaska","0400000US02","731545","351112","1201","75463","40480","49103","02"
"Arizona","0400000US04","7278717","3657782","1101","62055","446041","484997","04"
"Arkansas","0400000US05","3017804","1543099","742","48952","138501","168684","05"
"California","0400000US06","39512223","19871429","1614","80440","2806332","3083392","06"
"Colorado","0400000US08","5758736","2853781","1369","77127","519763","538062","08"
"Delaware","0400000US10","973764","503476","1116","70176","62719","71568","10"
"District of Columbia","0400000US11","705749","371394","1603","92266","62428","67397","11"
