NAME,GEO_ID,total_population,female_population,median_gross_rent_in_dollars,median_household_income_past12months,male_bachelors_degree_25yrs_above,female_bachelors_degree_25yrs_above,state,county
"Baldwin County, Alabama","0500000US01003","223234","114042","1072","56439","17207","15574","01","003"
"Calhoun County, Alabama","0500000US01015","113605","59320","769","48156","4232","4850","01","015"
"Cullman County, Alabama","0500000US01043","83768","43189","798","50906","2204","3731","01","043"
"DeKalb County, Alabama","0500000US01049","71513","35825","589","44208","1599","2094","01","049"
"Elmore County, Alabama","0500000US01051","81209","41149","896","61854","4611","4807","01","051"
"Etowah County, Alabama","0500000US01055","102268","52990","677","41447","2891","4633","01","055"
"Houston County, Alabama","0500000US01069","105882","55216","736","50103","5266","5187","01","069"
"Jefferson County, Alabama","0500000US01073","658573","347675","907","53944","40385","51654","01","073"
"Lauderdale County, Alabama","0500000US01077","92729","47946","637","46632","3996","4495","01","077"
"Lee County, Alabama","0500000US01081","164542","82137","765","53712","11654","9622","01","081"
"Limestone County, Alabama","0500000US01083","98915","49955","728","63695","6550","6158","01","083"
"Madison County, Alabama","0500000US01089","372909","191857","874","67930","31879","36552","01","089"
"Marshall County, Alabama","0500000US01095","96774","50399","652","49467","4948","4760","01","095"
"Mobile County, Alabama","0500000US01097","413210","216900","846","49639","18023","23844","01","097"
"Montgomery County, Alabama","0500000US01101","226486","119657","878","53117","13702","16908","01","101"
"Morgan County, Alabama","0500000US01103","119679","60796","716","54338","6895","5771","01","103"
"St. Clair County, Alabama","0500000US01115","89512","46256","963","67487","2451","3013","01","115"
"Shelby County, Alabama","0500000US01117","217702","112544","1073","75614","21334","22226","01","117"
"Talladega County, Alabama","0500000US01121","79978","40358","626","50147","2117","2910","01","121"
"Tuscaloosa County, Alabama","0500000US01125","209355","108453","889","52243","13061","12039","01","125"
"Walker County, Alabama","0500000US01127","63521","32035","730","46283","2122","1780","01","127"
"Anchorage Municipality, Alaska","0500000US02020","288000","143443","1230","82716","19154","23198","02","020"
"Fairbanks North Star Borough, Alaska","0500000US02090","96849","43686","1284","72065","4625","5587","02","090"
"Matanuska-Susitna Borough, Alaska","0500000US02170","108317","51883","1134","74709","5884","6124","02","170"
"Apache County, Arizona","0500000US04001","71887","35452","489","30480","1092","1745","04","001"
"Cochise County, Arizona","0500000US04003","125922","61718","735","48484","6891","6441","04","003"
"Coconino County, Arizona","0500000US04005","143476","72440","1231","58085","8740","9897","04","005"
"Maricopa County, Arizona","0500000US04013","4485414","2268298","1193","68649","306845","334353","04","013"
"Mohave County, Arizona","0500000US04015","212181","105262","873","50179","7378","6580","04","015"
"Navajo County, Arizona","0500000US04017","110924","55930","667","38897","2081","3104","04","017"
"Pima County, Arizona","0500000US04019","1047279","531169","905","56169","63564","70867","04","019"
"Pinal County, Arizona","0500000US04021","462789","221420","1089","62057","22275","23043","04","021"
"Yavapai County, Arizona","0500000US04025","235099","119465","1005","53816","14208","14224","04","025"
"Yuma County, Arizona","0500000US04027","213787","103598","829","46419","5681","6778","04","027"
"Benton County, Arkansas","0500000US05007","279141","140409","895","69130","19860","21302","05","007"
"Craighead County, Arkansas","0500000US05031","110332","56552","733","45610","5060","6172","05","031"
"Faulkner County, Arkansas","0500000US05045","126007","65131","836","57642","7773","8237","05","045"
"Garland County, Arkansas","0500000US05051","99386","52322","763","45265","6014","7369","05","051"
"Jefferson County, Arkansas","0500000US05069","66824","34265","721","39326","1760","3747","05","069"
"Lonoke County, Arkansas","0500000US05085","73309","38002","776","62532","2877","3284","05","085"
"Pulaski County, Arkansas","0500000US05119","391911","205053","837","52043","27447","28761","05","119"
"Saline County, Arkansas","0500000US05125","122437","62443","846","66327","6927","8038","05","125"
"Sebastian County, Arkansas","0500000US05131","127827","66011","728","48839","6070","8087","05","131"
"Washington County, Arkansas","0500000US05143","239187","119203","817","50798","12353","15543","05","143"
"White County, Arkansas","0500000US05145","78753","39984","622","43399","1667","3452","05","145"
"Alameda County, California","0500000US06001","1671329","847633","1982","108322","171334","179357","06","001"
"Butte County, California","0500000US06007","219186","110797","1087","62563","15297","14389","06","007"
"Contra Costa County, California","0500000US06013","1153526","590141","1948","107135","91376","115698","06","013"
"El Dorado County, California","0500000US06017","192843","97336","1308","87059","17044","17856","06","017"
"Fresno County, California","0500000US06019","999101","499892","1034","57518","42985","48560","06","019"
"Humboldt County, California","0500000US06023","135558","69141","1006","51662","8389","10723","06","023"
"Imperial County, California","0500000US06025","181215","88289","810","48472","7298","8238","06","025"
"Kern County, California","0500000US06029","900202","439711","949","53067","29808","34976","06","029"
"Kings County, California","0500000US06031","152940","68963","969","58453","5250","6184","06","031"
"Lake County, California","0500000US06033","64386","32912","992","47138","1636","3051","06","033"
"Los Angeles County, California","0500000US06037","10039107","5089282","1577","72797","733518","817673","06","037"
"Madera County, California","0500000US06039","157327","80765","1028","64827","4521","5595","06","039"
"Marin County, California","0500000US06041","258826","132183","2096","110843","31842","36603","06","041"
"Mendocino County, California","0500000US06045","86749","44504","1120","51744","3424","5539","06","045"
"Merced County, California","0500000US06047","277680","137336","1097","61167","7380","9641","06","047"
"Monterey County, California","0500000US06053","434061","213855","1658","77514","18843","22775","06","053"
"Napa County, California","0500000US06055","137744","69176","1835","92769","9378","12212","06","055"
"Nevada County, California","0500000US06057","99755","51413","1407","68818","7584","9780","06","057"
"Orange County, California","0500000US06059","3175692","1607619","1929","95934","276770","291903","06","059"
"Placer County, California","0500000US06061","398329","203355","1640","97723","37580","40621","06","061"
"Riverside County, California","0500000US06065","2470546","1238513","1497","73260","122753","120966","06","065"
"Sacramento County, California","0500000US06067","1552058","793103","1363","72017","103358","116814","06","067"
"San Bernardino County, California","0500000US06071","2180085","1093859","1342","67903","95047","107968","06","071"
"San Diego County, California","0500000US06073","3338330","1658014","1758","83985","272763","287301","06","073"
"San Francisco County, California","0500000US06075","881549","434133","1959","123859","126354","119531","06","075"
"San Joaquin County, California","0500000US06077","762148","381303","1260","68997","30337","37919","06","077"
"San Luis Obispo County, California","0500000US06079","283111","141131","1654","77265","21420","22157","06","079"
"San Mateo County, California","0500000US06081","766573","387997","2497","138500","71895","88040","06","081"
"Santa Barbara County, California","0500000US06083","446499","222640","1660","75653","26186","31197","06","083"
"Santa Clara County, California","0500000US06085","1927852","951549","2392","133076","184348","194269","06","085"
"Santa Cruz County, California","0500000US06087","273213","137755","1785","89269","21547","24258","06","087"
"Shasta County, California","0500000US06089","180080","90909","1116","63091","9036","10434","06","089"
"Solano County, California","0500000US06095","447643","225595","1723","86652","25175","34184","06","095"
"Sonoma County, California","0500000US06097","494336","253823","1757","87828","37469","46447","06","097"
"Stanislaus County, California","0500000US06099","550660","279171","1231","63037","18823","24500","06","099"
"Sutter County, California","0500000US06101","96971","48087","1151","62777","4002","3790","06","101"
"Tehama County, California","0500000US06103","65084","32393","950","53475","2526","1917","06","103"
"Tulare County, California","0500000US06107","466195","233378","1014","57692","12981","12179","06","107"
"Ventura County, California","0500000US06111","846006","428074","1859","92236","61173","65199","06","111"
"Yolo County, California","0500000US06113","220500","113480","1489","71417","11896","17183","06","113"
"Yuba County, California","0500000US06115","78668","38806","1012","58765","3979","2635","06","115"
"Adams County, Colorado","0500000US08001","517421","253766","1401","75804","27552","29923","08","001"
"Arapahoe County, Colorado","0500000US08005","656590","331082","1460","82710","58719","62597","08","005"
"Boulder County, Colorado","0500000US08013","326196","162517","1637","88535","38272","39318","08","013"
"Broomfield County, Colorado","0500000US08014","70465","34884","1786","111400","8438","7906","08","014"
"Denver County, Colorado","0500000US08031","727211","362580","1433","75646","88088","85005","08","031"
"Douglas County, Colorado","0500000US08035","351154","175581","1761","122867","43363","41941","08","035"
"El Paso County, Colorado","0500000US08041","720403","356098","1253","72830","54506","61075","08","041"
"Jefferson County, Colorado","0500000US08059","582881","291804","1444","90040","65636","65790","08","059"
"Larimer County, Colorado","0500000US08069","356899","177415","1399","75186","34901","36843","08","069"
"Mesa County, Colorado","0500000US08077","154210","78968","981","60500","10725","10407","08","077"
"Pueblo County, Colorado","0500000US08101","168424","85631","860","51276","8867","9093","08","101"
"Weld County, Colorado","0500000US08123","324492","160283","1211","78615","17249","21166","08","123"
"Fairfield County, Connecticut","0500000US09001","943332","483894","1521","97053","83132","95240","09","001"
