NAME,GEO_ID,total_population,female_population,median_gross_rent_in_dollars,median_household_income_past12months,male_bachelors_degree_25yrs_above,female_bachelors_degree_25yrs_above,state,county
"Baldwin County, Alabama","0500000US01003","246435","125771","1107","69914","18612","17715","01","003"
"Calhoun County, Alabama","0500000US01015","115788","59234","669","52819","4747","6804","01","015"
"Cullman County, Alabama","0500000US01043","90665","45614","811","63229","3885","4351","01","043"
"DeKalb County, Alabama","0500000US01049","71998","35974","640","49663","1881","1868","01","049"
"Elmore County, Alabama","0500000US01051","89563","46115","1018","71651","3234","5247","01","051"
"Etowah County, Alabama","0500000US01055","103088","52645","796","57098","3671","4206","01","055"
"Houston County, Alabama","0500000US01069","108079","56351","800","56705","5194","6582","01","069"
"Jefferson County, Alabama","0500000US01073","665409","349403","1096","61968","47517","49820","01","073"
"Lauderdale County, Alabama","0500000US01077","95878","50145","834","59461","5006","5536","01","077"
"Lee County, Alabama","0500000US01081","180773","91358","973","58549","11989","14055","01","081"
"Limestone County, Alabama","0500000US01083","110900","54734","971","84220","6319","8440","01","083"
"Madison County, Alabama","0500000US01089","403565","204198","1105","80123","38436","36393","01","089"
"Marshall County, Alabama","0500000US01095","99423","50388","757","52678","4435","4539","01","095"
"Mobile County, Alabama","0500000US01097","411411","214388","943","54300","22340","24750","01","097"
"Montgomery County, Alabama","0500000US01101","226361","119302","980","57509","12106","18887","01","101"
"Morgan County, Alabama","0500000US01103","124211","63125","851","62201","6659","7773","01","103"
"St. Clair County, Alabama","0500000US01115","93932","47462","821","70301","4341","5183","01","115"
"Shelby County, Alabama","0500000US01117","230115","118177","1337","98212","24888","25773","01","117"
"Talladega County, Alabama","0500000US01121","80704","42882","726","56876","3197","3245","01","121"
"Tuscaloosa County, Alabama","0500000US01125","236780","124463","944","61097","12226","16234","01","125"
"Anchorage Municipality, Alaska","0500000US02020","287145","141348","1381","100751","21562","24263","02","020"
"Fairbanks North Star Borough, Alaska","0500000US02090","95356","42484","1368","83519","4946","6282","02","090"
"Matanuska-Susitna Borough, Alaska","0500000US02170","113325","53947","1318","84636","4531","5587","02","170"
"Apache County, Arizona","0500000US04001","65432","33053","684","37663","1503","2451","04","001"
"Cochise County, Arizona","0500000US04003","125663","61650","920","55031","7167","7573","04","003"
"Coconino County, Arizona","0500000US04005","144060","73474","1284","62622","9611","10697","04","005"
"Maricopa County, Arizona","0500000US04013","4551524","2283010","1618","83747","352743","352209","04","013"
"Mohave County, Arizona","0500000US04015","220816","108323","1069","54786","7676","8293","04","015"
"Navajo County, Arizona","0500000US04017","108650","54497","924","49487","3807","4490","04","017"
"Pima County, Arizona","0500000US04019","1057597","533447","1135","64014","76881","76508","04","019"
"Pinal County, Arizona","0500000US04021","464154","223754","1583","76377","23531","24504","04","021"
"Yavapai County, Arizona","0500000US04025","246191","125069","1166","63936","16903","17456","04","025"
"Yuma County, Arizona","0500000US04027","207842","101720","895","53994","6489","8275","04","027"
"Benton County, Arkansas","0500000US05007","302863","151187","1158","85917","24524","25572","05","007"
"Craighead County, Arkansas","0500000US05031","113017","58848","858","61871","4267","6334","05","031"
"Faulkner County, Arkansas","0500000US05045","127665","65673","917","62993","6514","8405","05","045"
"Garland County, Arkansas","0500000US05051","100089","50919","872","53145","5469","4903","05","051"
"Jefferson County, Arkansas","0500000US05069","64246","32263","774","44584","2545","4167","05","069"
"Lonoke County, Arkansas","0500000US05085","75225","36938","919","63766","3684","3845","05","085"
"Pulaski County, Arkansas","0500000US05119","399145","208890","935","56308","26158","33133","05","119"
"Saline County, Arkansas","0500000US05125","127357","65794","882","67632","8166","8222","05","125"
"Sebastian County, Arkansas","0500000US05131","129059","65006","763","51491","4841","6434","05","131"
"Washington County, Arkansas","0500000US05143","256054","128732","919","61194","14711","18593","05","143"
"White County, Arkansas","0500000US05145","77755","40286","815","57015","2558","3302","05","145"
"Alameda County, California","0500000US06001","1628997","818927","2183","122159","163001","180692","06","001"
"Butte County, California","0500000US06007","207303","103823","1307","64426","14996","14216","06","007"
"Contra Costa County, California","0500000US06013","1156966","587259","2206","120061","102712","116332","06","013"
"El Dorado County, California","0500000US06017","192646","96057","1754","105982","17179","17414","06","017"
"Fresno County, California","0500000US06019","1015190","504329","1304","69571","46812","53679","06","019"
"Humboldt County, California","0500000US06023","135010","67966","1181","57883","9395","9642","06","023"
"Imperial County, California","0500000US06025","178713","87409","954","57310","6383","7534","06","025"
"Kern County, California","0500000US06029","916108","447735","1208","66234","32195","38576","06","029"
"Kings County, California","0500000US06031","152981","69462","1401","64368","6520","4997","06","031"
"Lake County, California","0500000US06033","68191","33811","1171","51259","2369","3832","06","033"
"Los Angeles County, California","0500000US06037","9721138","4895546","1805","82516","744163","810572","06","037"
"Madera County, California","0500000US06039","160256","81058","1189","76920","5628","8600","06","039"
"Marin County, California","0500000US06041","256018","131745","2375","136214","29869","35282","06","041"
"Mendocino County, California","0500000US06045","89783","45045","1239","65520","4525","5725","06","045"
"Merced County, California","0500000US06047","290014","142044","1204","66164","9666","10606","06","047"
"Monterey County, California","0500000US06053","432858","212655","1909","92840","23326","24124","06","053"
"Napa County, California","0500000US06055","134300","66272","2013","100318","10318","12808","06","055"
"Nevada County, California","0500000US06057","102293","50502","1532","78401","10141","10908","06","057"
"Orange County, California","0500000US06059","3151184","1586479","2251","106209","291987","314603","06","059"
"Placer County, California","0500000US06061","417772","212583","1907","105445","37135","41047","06","061"
"Riverside County, California","0500000US06065","2473902","1230437","1763","86748","127096","131128","06","065"
"Sacramento County, California","0500000US06067","1584169","802192","1667","84211","112267","126547","06","067"
"San Benito County, California","0500000US06069","67579","33674","1609","111544","3886","4360","06","069"
"San Bernardino County, California","0500000US06071","2193656","1091981","1656","79091","95338","109895","06","071"
"San Diego County, California","0500000US06073","3276208","1615587","2045","98928","289370","300453","06","073"
"San Francisco County, California","0500000US06075","808437","393746","2308","136692","116929","109554","06","075"
"San Joaquin County, California","0500000US06077","793229","395286","1608","86056","32079","47417","06","077"
"San Luis Obispo County, California","0500000US06079","282013","140331","1847","90216","25066","25775","06","079"
"San Mateo County, California","0500000US06081","729181","364899","2690","145388","74569","79326","06","081"
"Santa Barbara County, California","0500000US06083","443837","220549","1975","90894","30355","31072","06","083"
"Santa Clara County, California","0500000US06085","1870945","914468","2624","150839","185450","191424","06","085"
