NAME,GEO_ID,total_population,female_population,median_gross_rent_in_dollars,median_household_income_past12months,male_bachelors_degree_25yrs_above,female_bachelors_degree_25yrs_above,state,county
"Autauga County, Alabama","0500000US01001","55639","28587","1011","57982","3266","3054","01","001"
"Baldwin County, Alabama","0500000US01003","218289","112400","1032","61756","15220","16224","01","003"
"Barbour County, Alabama","0500000US01005","25026","11870","587","34990","574","722","01","005"
"Bibb County, Alabama","0500000US01007","22374","10352","693","51721","738","445","01","007"
"Blount County, Alabama","0500000US01009","57755","29078","666","48922","1430","2110","01","009"
"Bullock County, Alabama","0500000US01011","10173","4595","559","33866","187","226","01","011"
"Butler County, Alabama","0500000US01013","19726","10676","627","44850","494","902","01","013"
"Calhoun County, Alabama","0500000US01015","114324","59399","720","50128","3736","4560","01","015"
"Lewis County, Kentucky","0500000US21135","13345","6687","491","29844","174","321","21","135"
"Lincoln County, Kentucky","0500000US21137","24493","12460","604","42231","529","650","21","137"
"Livingston County, Kentucky","0500000US21139","9172","4599","670","52795","238","348","21","139"
"Logan County, Kentucky","0500000US21141","27049","13909","622","48912","746","1165","21","141"
"Lyon County, Kentucky","0500000US21143","8226","3871","602","49286","323","227","21","143"
"McCracken County, Kentucky","0500000US21145","65485","34044","744","47011","3346","4080","21","145"
"McCreary County, Kentucky","0500000US21147","17333","7978","543","29499","276","364","21","147"
"Madison County, Kentucky","0500000US21151","92090","47317","728","51649","5305","5490","21","151"
"Marion County, Kentucky","0500000US21155","19257","9501","656","43587","363","532","21","155"
"Marshall County, Kentucky","0500000US21157","31225","15904","724","57348","1430","1239","21","157"
"Mason County, Kentucky","0500000US21161","17122","8587","654","46241","594","821","21","161"
"Meade County, Kentucky","0500000US21163","28379","14107","856","61500","956","1137","21","163"
"Mercer County, Kentucky","0500000US21167","21690","10866","622","52312","818","727","21","167"
"Metcalfe County, Kentucky","0500000US21169","10062","5166","557","40391","198","328","21","169"
"Montgomery County, Kentucky","0500000US21173","28042","14304","697","46998","948","693","21","173"
"Morgan County, Kentucky","0500000US21175","13270","5790","581","37399","341","380","21","175"
"Nelson County, Kentucky","0500000US21179","45915","23018","799","63032","1814","1845","21","179"
"Nicholas County, Kentucky","0500000US21181","7189","3679","565","47665","83","112","21","181"
"Oldham County, Kentucky","0500000US21185","66508","31645","964","103761","5863","5349","21","185"
"Owen County, Kentucky","0500000US21187","10847","5285","631","50553","403","533","21","187"
"Pendleton County, Kentucky","0500000US21191","14587","7091","758","56000","438","348","21","191"
