NAME,GEO_ID,total_population,female_population,median_gross_rent_in_dollars,median_household_income_past12months,male_bachelors_degree_25yrs_above,female_bachelors_degree_25yrs_above,state
"Mississippi","0400000US28","2984100","1537627","742","43529","118283","146937","28"
"Missouri","0400000US29","6113532","3110838","800","53578","347259","396538","29"
"Montana","0400000US30","1050493","524136","759","53386","73383","83943","30"
"Nebraska","0400000US31","1920076","960803","801","59970","122835","140495","31"
"Nevada","0400000US32","2998039","1491787","1051","58003","167190","172920","32"
"New Hampshire","0400000US33","1342795","677054","1072","73381","101959","114791","33"
"New Jersey","0400000US34","9005644","4608796","1284","80088","707327","799572","34"
"New Mexico","0400000US35","2088070","1053926","813","46744","99627","112368","35"
"New York","0400000US36","19849399","10211503","1226","64894","1327412","1467508","36"
"North Carolina","0400000US37","10273419","5274881","861","52752","641514","765225","37"
"North Dakota","0400000US38","755393","367093","785","61843","51215","56830","38"
"Ohio","0400000US39","11658609","5949355","772","54021","658148","723786","39"
"Oklahoma","0400000US40","3930864","1981878","780","50051","199322","237921","40"
"Oregon","0400000US41","4142776","2088760","1079","60212","291360","317800","41"
"Pennsylvania","0400000US42","12805537","6533016","893","59195","817555","879842","42"
"Rhode Island","0400000US44","1059639","546441","941","63870","71311","78388","44"
"South Carolina","0400000US45","5024369","2587467","848","50570","286633","320391","45"
"South Dakota","0400000US46","869666","431237","722","56521","51419","58384","46"
"Tennessee","0400000US47","6715984","3443849","833","51340","373333","417507","47"
"Texas","0400000US48","28304596","14241895","987","59206","1645023","1865288","48"
"Vermont","0400000US50","623657","315847","950","57513","43520","55254","50"
"Utah","0400000US49","3101833","1538400","986","68358","206048","210756","49"
"Virginia","0400000US51","8470020","4306266","1179","71535","595764","674426","51"
"Washington","0400000US53","7405743","3707128","1216","70979","554337","576055","53"
"West Virginia","0400000US54","1815857","918691","690","43469","74482","81896","54"
"Wisconsin","0400000US55","5795483","2915029","819","59305","361715","420961","55"
"Wyoming","0400000US56","579315","283536","832","60434","31850","35462","56"
"Puerto Rico","0400000US72","3337177","1745180","453","19343","155376","273182","72"
"Alabama","0400000US01","4874747","2514851","750","48123","242582","285437","01"
"Alaska","0400000US02","739795","354019","1201","73181","39090","47354","02"
"Arizona","0400000US04","7016270","3528548","1020","56581","421514","441548","04"
"Arkansas","0400000US05","3004279","1524597","711","45869","141893","159401","05"
"California","0400000US06","39536653","19886602","1447","71805","2693031","2923418","06"
"Colorado","0400000US08","5607154","2786985","1240","69117","484314","510580","08"
"Delaware","0400000US10","961939","496429","1086","62852","58029","63413","10"
"District of Columbia","0400000US11","693972","364894","1499","82372","55931","62241","11"
"Connecticut","0400000US09","3588184","1837537","1125","74168","253151","280640","09"
"Florida","0400000US12","20984400","10730133","1128","52594","1335158","1504342","12"
"Georgia","0400000US13","10429379","5358658","958","56183","614256","697355","13"
"Idaho","0400000US16","1716943","854223","822","52225","97903","104897","16"
"Hawaii","0400000US15","1427538","711188","1573","77765","100525","116468","15"
"Illinois","0400000US17","12802023","6507123","974","62992","876478","953425","17"
"Indiana","0400000US18","6666818","3380666","793","54181","352009","401259","18"
"Iowa","0400000US19","3145711","1583446","760","58570","189790","216840","19"
"Kansas","0400000US20","2913123","1460550","815","56422","193207","210335","20"
"Kentucky","0400000US21","4454189","2259339","724","48375","203082","220834","21"
"Louisiana","0400000US22","4684333","2394638","836","46145","211189","271250","22"
"Maine","0400000US23","1335907","681144","806","56277","85562","108298","23"
"Maryland","0400000US24","6052177","3116355","1337","80776","410803","478287","24"
"Massachusetts","0400000US25","6859819","3526549","1208","77385","541895","604691","25"
"Michigan","0400000US26","9962311","5055069","835","54909","569277","632098","26"
"Minnesota","0400000US27","5576606","2795892","939","68388","427993","460887","27"
