NAME,GEO_ID,total_population,female_population,median_gross_rent_in_dollars,median_household_income_past12months,male_bachelors_degree_25yrs_above,female_bachelors_degree_25yrs_above,state
"Alabama","0400000US01","5039877","2593981","861","53913","263108","309168","01"
"Puerto Rico","0400000US72","3263584","1719593","504","22237","183938","309418","72"
"Arizona","0400000US04","7276316","3646696","1253","69056","491148","494525","04"
"Arkansas","0400000US05","3025891","1532210","820","52528","149595","174542","05"
"California","0400000US06","39237836","19618902","1750","84907","2869357","3088673","06"
"Colorado","0400000US08","5812069","2869032","1491","82254","539528","567781","08"
"Connecticut","0400000US09","3605597","1837552","1277","83771","279778","307912","09"
"Delaware","0400000US10","1003384","517476","1208","71091","68018","78277","10"
"District of Columbia","0400000US11","670050","351025","1668","90088","58701","62070","11"
"Florida","0400000US12","21781128","11066608","1348","63062","1530857","1717364","12"
"Georgia","0400000US13","10799566","5529422","1153","66559","714774","799240","13"
"Hawaii","0400000US15","1441553","715949","1774","84857","103369","123480","15"
"Idaho","0400000US16","1900923","946610","1035","66474","119356","134406","16"
"Illinois","0400000US17","12671469","6407105","1106","72205","921434","1010848","17"
"Indiana","0400000US18","6805985","3431054","905","62743","390277","452792","18"
"Iowa","0400000US19","3193079","1589812","847","65600","203308","238570","19"
"Kansas","0400000US20","2934582","1459972","904","64124","205446","222018","20"
"Kentucky","0400000US21","4509394","2280066","830","55573","227412","261134","21"
"Louisiana","0400000US22","4624047","2363181","924","52087","231822","291653","22"
"Maine","0400000US23","1372247","698764","945","64767","103349","121638","23"
"Maryland","0400000US24","6165129","3162038","1473","90203","449946","506587","24"
"Massachusetts","0400000US25","6984723","3576471","1487","89645","602930","647818","25"
"Michigan","0400000US26","10050811","5073942","969","63498","630265","707897","26"
"Minnesota","0400000US27","5707390","2846722","1113","77720","483158","510725","27"
"Mississippi","0400000US28","2949965","1514542","831","48716","124617","179039","28"
"Missouri","0400000US29","6168187","3123006","882","61847","391265","431950","29"
"Montana","0400000US30","1104271","543360","883","63249","83543","87834","30"
"Nebraska","0400000US31","1963692","977673","912","66817","135355","151155","31"
"Nevada","0400000US32","3143991","1558784","1311","66274","194137","199071","32"
"New Hampshire","0400000US33","1388992","695758","1263","88465","121991","125365","33"
"New Jersey","0400000US34","9267130","4703570","1457","89296","802854","861499","34"
"New Mexico","0400000US35","2115877","1063522","906","53992","106331","125414","35"
"New York","0400000US36","19835913","10139340","1409","74314","1495635","1610204","36"
"North Carolina","0400000US37","10551162","5401839","1026","61972","719685","853996","37"
"North Dakota","0400000US38","774948","375404","839","66519","56176","57138","38"
"Ohio","0400000US39","11780017","5971442","870","62262","736344","800280","39"
"Oklahoma","0400000US40","3986639","2001932","855","55826","225688","257480","40"
"Oregon","0400000US41","4246155","2124623","1282","71562","324075","356231","41"
"Pennsylvania","0400000US42","12964056","6564424","1036","68957","923218","964504","42"
"Rhode Island","0400000US44","1095610","559021","1142","74008","78285","83309","44"
"South Carolina","0400000US45","5190705","2669016","976","59318","333699","371041","45"
"South Dakota","0400000US46","895376","443426","830","66143","59337","67921","46"
"Tennessee","0400000US47","6975218","3562037","981","59695","437047","487357","47"
"Texas","0400000US48","29527941","14788930","1167","66963","1936277","2141544","48"
"Utah","0400000US49","3337975","1643205","1208","79449","240948","243934","49"
"Vermont","0400000US50","645570","325277","1115","72431","57628","62745","50"
"Virginia","0400000US51","8642274","4368343","1331","80963","650003","744872","51"
"Washington","0400000US53","7738692","3841372","1484","84247","627398","660067","53"
"West Virginia","0400000US54","1782959","895599","767","51248","83302","96074","54"
"Wisconsin","0400000US55","5895908","2940659","921","67125","409804","466663","55"
"Wyoming","0400000US56","578803","282796","889","65204","34291","38964","56"
"Alaska","0400000US02","732673","349552","1259","77845","42852","58570","02"
