NAME,GEO_ID,total_population,female_population,median_gross_rent_in_dollars,median_household_income_past12months,male_bachelors_degree_25yrs_above,female_bachelors_degree_25yrs_above,state,county
"St. Lawrence County, New York","0500000US36089","109623","53481","744","50325","3585","4694","36","089"
"Saratoga County, New York","0500000US36091","229869","116752","1052","83726","20032","17854","36","091"
"Schenectady County, New York","0500000US36093","155565","80580","885","62514","8816","8394","36","093"
"Steuben County, New York","0500000US36101","96281","48192","665","50930","3707","3744","36","101"
"Suffolk County, New York","0500000US36103","1492953","758040","1697","94750","103946","104118","36","103"
"Sullivan County, New York","0500000US36105","75485","37099","826","55309","3292","5958","36","105"
"Tompkins County, New York","0500000US36109","104802","53031","1120","56672","6299","7385","36","109"
"Ulster County, New York","0500000US36111","179417","90552","1077","63621","10938","12499","36","111"
"Warren County, New York","0500000US36113","64532","32500","852","60541","3668","3598","36","113"
"Wayne County, New York","0500000US36117","90670","45944","683","51326","3757","5029","36","117"
"Westchester County, New York","0500000US36119","980244","505236","1507","90578","72762","86486","36","119"
"Alamance County, North Carolina","0500000US37001","162391","85275","758","45150","7956","9116","37","001"
"Brunswick County, North Carolina","0500000US37019","130897","67305","902","56181","9309","10133","37","019"
"Buncombe County, North Carolina","0500000US37021","257607","133498","975","50040","21296","29402","37","021"
"Burke County, North Carolina","0500000US37023","89293","44154","658","40274","2498","3567","37","023"
"Cabarrus County, North Carolina","0500000US37025","206872","105682","876","61490","12042","15945","37","025"
"Caldwell County, North Carolina","0500000US37027","81981","42203","614","45033","2501","2549","37","027"
"Carteret County, North Carolina","0500000US37031","68881","34497","883","52807","3739","4358","37","031"
"Catawba County, North Carolina","0500000US37035","157974","81676","727","53539","6046","8432","37","035"
"Chatham County, North Carolina","0500000US37037","71472","36701","689","57770","6021","5690","37","037"
"Cleveland County, North Carolina","0500000US37045","97334","50721","647","37205","3241","4176","37","045"
"Craven County, North Carolina","0500000US37049","102578","51241","829","51789","5819","6648","37","049"
"Cumberland County, North Carolina","0500000US37051","332546","166022","871","43759","14618","18896","37","051"
"Davidson County, North Carolina","0500000US37057","165466","84047","668","46802","6318","7952","37","057"
"Durham County, North Carolina","0500000US37063","311640","162743","1021","59891","24995","30784","37","063"
"Forsyth County, North Carolina","0500000US37067","376320","197238","776","50185","23657","31515","37","067"
"Franklin County, North Carolina","0500000US37069","66168","34053","792","54825","3106","3620","37","069"
"Gaston County, North Carolina","0500000US37071","220182","114267","774","49670","10462","11288","37","071"
"Guilford County, North Carolina","0500000US37081","526953","277356","833","52098","38585","43756","37","081"
"Harnett County, North Carolina","0500000US37085","132754","67130","851","51479","5708","7026","37","085"
"Henderson County, North Carolina","0500000US37089","115708","60494","895","51078","9592","10033","37","089"
"Iredell County, North Carolina","0500000US37097","175711","89257","800","55690","11185","12573","37","097"
"Johnston County, North Carolina","0500000US37101","196708","101090","810","58111","9458","11584","37","101"
"Lincoln County, North Carolina","0500000US37109","82403","41750","734","54361","4176","4428","37","109"
"Mecklenburg County, North Carolina","0500000US37119","1076837","558966","1099","65588","105085","115481","37","119"
"Moore County, North Carolina","0500000US37125","97264","50271","874","64184","9297","8242","37","125"
"Nash County, North Carolina","0500000US37127","93991","48592","831","47289","4210","5909","37","127"
"New Hanover County, North Carolina","0500000US37129","227198","119298","922","52674","18988","22440","37","129"
"Onslow County, North Carolina","0500000US37133","193893","86894","1056","49883","7571","8072","37","133"
"Orange County, North Carolina","0500000US37135","144946","76482","1076","69940","10883","11497","37","135"
"Pitt County, North Carolina","0500000US37147","179042","93652","787","45849","11135","12670","37","147"
"Randolph County, North Carolina","0500000US37151","143282","72239","688","43154","5355","7033","37","151"
"Robeson County, North Carolina","0500000US37155","132606","68694","608","32729","2968","4142","37","155"
"Rockingham County, North Carolina","0500000US37157","90949","48068","655","48196","3499","3671","37","157"
"Rowan County, North Carolina","0500000US37159","140644","70688","697","47396","6098","6900","37","159"
"Rutherford County, North Carolina","0500000US37161","66551","34107","587","40570","2840","2688","37","161"
"Surry County, North Carolina","0500000US37171","72224","37604","587","42438","2951","4460","37","171"
"Union County, North Carolina","0500000US37179","231366","118279","915","77691","15587","18142","37","179"
"Wake County, North Carolina","0500000US37183","1072203","549787","1107","77318","109049","122889","37","183"
"Wayne County, North Carolina","0500000US37191","124172","63739","739","44347","4830","7425","37","191"
"Wilkes County, North Carolina","0500000US37193","68576","35302","584","40995","2403","3396","37","193"
"Wilson County, North Carolina","0500000US37195","81671","43450","776","45960","3088","4954","37","195"
"Burleigh County, North Dakota","0500000US38015","95030","47468","863","69193","7298","8131","38","015"
"Cass County, North Dakota","0500000US38017","177787","86516","794","64704","17345","15581","38","017"
"Grand Forks County, North Dakota","0500000US38035","70795","33686","748","47496","4446","4667","38","035"
"Ward County, North Dakota","0500000US38101","68946","33584","849","64742","4956","4920","38","101"
"Allen County, Ohio","0500000US39003","103198","51164","636","51542","3982","4342","39","003"
"Ashtabula County, Ohio","0500000US39007","97807","49730","633","44173","3249","3931","39","007"
"Athens County, Ohio","0500000US39009","66597","32973","754","44247","2584","2840","39","009"
"Belmont County, Ohio","0500000US39013","68029","33204","608","54253","1930","2281","39","013"
"Butler County, Ohio","0500000US39017","380604","194804","810","64023","22299","22789","39","017"
"Clark County, Ohio","0500000US39023","134557","69638","675","46665","4534","5283","39","023"
"Clermont County, Ohio","0500000US39025","204214","104037","818","65632","11467","13153","39","025"
"Columbiana County, Ohio","0500000US39029","103077","51293","639","41818","2087","3303","39","029"
"Cuyahoga County, Ohio","0500000US39035","1248514","653093","791","46784","80409","87513","39","035"
"Delaware County, Ohio","0500000US39041","200464","101634","1042","106933","22388","23342","39","041"
"Erie County, Ohio","0500000US39043","74817","37581","680","54958","4133","4302","39","043"
"Fairfield County, Ohio","0500000US39045","154733","78222","889","67310","9513","9099","39","045"
"Franklin County, Ohio","0500000US39049","1291981","661611","927","59227","103626","104985","39","049"
"Geauga County, Ohio","0500000US39055","93918","47664","770","82741","6718","8431","39","055"
"Greene County, Ohio","0500000US39057","166752","84717","868","67923","11310","11557","39","057"
"Hamilton County, Ohio","0500000US39061","813822","421113","775","55048","58880","65071","39","061"
"Hancock County, Ohio","0500000US39063","75754","38494","735","51360","4607","4732","39","063"
"Jefferson County, Ohio","0500000US39081","66359","34276","674","43675","2035","2777","39","081"
"Lake County, Ohio","0500000US39085","230117","117876","836","59618","12200","15316","39","085"
"Licking County, Ohio","0500000US39089","173448","88140","848","62883","10373","10758","39","089"
"Lorain County, Ohio","0500000US39093","307924","155671","714","54932","15776","17230","39","093"
"Lucas County, Ohio","0500000US39095","430887","221629","699","47308","21828","26175","39","095"
"Mahoning County, Ohio","0500000US39099","229796","117457","658","43389","12572","12436","39","099"
"Marion County, Ohio","0500000US39101","64967","30377","696","44766","2651","1696","39","101"
"Medina County, Ohio","0500000US39103","178371","90688","835","71360","13656","12546","39","103"
